"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"High Point",51.285140562249,187,22.748754425594,7,31.6910785619174,230,34.0562248995984,140
2026,"Hofstra",47.9393468118196,51,15.0624478181601,297,31.442663378545,217,35.6920684292379,199
2026,"Holy Cross",55,313,14.7620656496089,308,28.490832157969,78,28.1746031746032,34
2026,"Houston",46.1267605633803,15,23.0791957039328,4,31.7460317460317,233,38.7323943661972,267
2026,"Houston Christian",56.1912894961571,344,17.278300109368,157,32.9249617151608,280,30.5721605465414,61
2026,"Howard",48.8003838771593,79,21.2782184258694,17,32.3076923076923,256,40.7869481765835,300
2026,"IU Indy",58.4804297774367,362,20.0246549806068,29,37.5178316690442,356,46.4313123561013,350
2026,"Idaho",51.4886164623468,196,15.7242537680137,259,26.0677466863034,20,40.5429071803853,295
2026,"Idaho St.",53.5624476110645,273,15.2355065984764,288,30.3215926493109,155,36.127409891031,209
2026,"Illinois",46.6049382716049,21,11.5312263328909,365,25.9931895573212,18,18.1069958847737,1
2026,"Illinois Chicago",49.3990384615385,90,20.0787138950037,28,34.5454545454545,323,36.0576923076923,206
2026,"Illinois St.",47.9625101874491,54,17.23395088324,162,24.258064516129,5,36.0228198859006,204
2026,"Incarnate Word",54.089219330855,287,16.759254063558,196,32.1428571428571,249,44.2379182156134,337
2026,"Indiana",46.9103240391861,33,16.2213140521848,229,28.8156288156288,92,38.733986435569,268
2026,"Indiana St.",49.7483824586628,108,14.7206531084523,309,31.3868613138686,210,28.6125089863408,38
2026,"Iona",48.9652870493992,82,16.9266290024425,183,32.5221238938053,270,27.369826435247,28
2026,"Iowa",50.0452488687783,116,22.0206222064876,9,29.8192771084337,138,36.7420814479638,223
2026,"Iowa St.",48.3009708737864,63,22.7920227920228,6,28.2694848084544,73,26.537216828479,19
2026,"Jackson St.",54.5191612436732,298,15.5358200118413,275,38.6503067484663,362,40.708604483008,296
2026,"Jacksonville",55.4476351351351,329,15.5861098237122,268,28.6775631500743,85,42.2297297297297,317
2026,"Jacksonville St.",48.7724268177526,78,16.2405835464578,227,29.4478527607362,126,36.2606232294618,212
2026,"James Madison",49.7021593447506,106,12.9034339263537,357,31.4923619271445,221,42.6656738644825,320
2026,"Kansas",44.4839857651246,7,13.5252728674076,349,29.4307196562836,125,25.9074733096085,13
2026,"Kansas City",55.6060606060606,332,16.5652047873442,208,36.027397260274,343,32.5,104
2026,"Kansas St.",51.530612244898,200,17.0416393316096,173,32.6996197718631,273,35.0583090379009,176
2026,"Kennesaw St.",47.5578406169666,39,15.5927539555148,267,30.6648575305292,170,47.2150814053128,355
2026,"Kent St.",52.20700152207,227,15.8757878359714,257,29.1933418693982,112,37.3668188736682,234
2026,"Kentucky",47.9584261321455,53,15.8943309696013,254,28.1287246722288,65,34.8923533778768,171
2026,"LIU",50.815418828762,160,18.542653566105,89,32.5953259532595,271,34.9147516679022,172
